date_id,Total Employees,industry_id,Average Hourly Earnings
1,62500,1,0
2,62500,1,0
3,62800,1,0
4,61900,1,0
5,61500,1,0
6,62000,1,0
7,62100,1,0
8,62600,1,0
9,62100,1,0
10,62100,1,0
11,62200,1,0
12,62600,1,0
13,62600,1,0
14,62700,1,0
15,62600,1,0
16,63000,1,0
17,63100,1,0
18,63400,1,0
19,63500,1,0
20,63900,1,0
21,64100,1,0
22,64200,1,0
23,64300,1,0
24,64200,1,0
25,64300,1,0
26,64100,1,0
27,64100,1,0
28,64300,1,0
29,64600,1,0
30,64700,1,0
31,64500,1,0
32,64600,1,0
33,64300,1,0
34,64500,1,0
35,64400,1,0
36,64600,1,0
37,64600,1,0
38,64900,1,0
39,64900,1,0
40,64500,1,0
41,64200,1,0
42,64300,1,0
43,64200,1,0
44,63900,1,0
45,64100,1,0
46,63900,1,0
47,64100,1,0
48,64300,1,0
49,64400,1,0
50,64700,1,0
51,64800,1,0
52,65300,1,0
53,63800,1,0
54,62500,1,0
55,62800,1,0
56,63200,1,0
57,63800,1,0
58,65300,1,0
59,64900,1,0
60,64400,1,0
61,63900,1,0
62,62800,1,0
63,63300,1,0
64,63000,1,0
65,63300,1,0
66,63700,1,0
67,63800,1,0
68,63400,1,0
69,63200,1,0
70,62700,1,0
71,62400,1,0
72,62800,1,0
1,98700,2,38.05
2,98800,2,37.33
3,99100,2,36.67
4,99000,2,36.29
5,98800,2,36.69
6,98600,2,36.98
7,97700,2,36.47
8,97100,2,37.00
9,96900,2,37.17
10,96600,2,37.63
11,96300,2,37.72
12,95400,2,37.95
13,95900,2,38.25
14,95700,2,38.58
15,96300,2,39.36
16,95800,2,38.78
17,97100,2,39.37
18,95800,2,39.19
19,96100,2,39.43
20,95700,2,39.41
21,95600,2,38.99
22,95600,2,39.10
23,95100,2,39.79
24,95400,2,40.01
25,95300,2,39.91
26,95200,2,40.05
27,94800,2,40.33
28,94600,2,40.58
29,94300,2,40.58
30,94500,2,41.14
31,94600,2,41.23
32,94600,2,41.44
33,94300,2,41.89
34,94100,2,42.35
35,93900,2,42.32
36,93700,2,42.39
37,93400,2,42.55
38,93300,2,42.90
39,93600,2,43.22
40,92600,2,43.75
41,91800,2,43.82
42,91200,2,43.78
43,91000,2,44.32
44,90900,2,44.24
45,91000,2,44.35
46,91200,2,44.37
47,90500,2,44.36
48,90600,2,44.79
49,90200,2,44.82
50,90000,2,45.27
51,89700,2,44.90
52,89600,2,44.85
53,89500,2,44.65
54,89200,2,44.72
55,88300,2,44.73
56,87800,2,44.54
57,87200,2,44.82
58,86600,2,44.20
59,86000,2,45.44
60,85600,2,45.69
61,85500,2,45.83
62,84300,2,46.10
63,83400,2,46.63
64,82900,2,46.49
65,83300,2,46.98
66,83300,2,47.27
67,83200,2,47.69
68,82700,2,47.85
69,82100,2,47.73
70,82200,2,47.30
71,82300,2,48.08
72,81800,2,48.42
1,25200,3,0.00
2,25000,3,0.00
3,25200,3,0.00
4,25300,3,0.00
5,25300,3,0.00
6,25200,3,0.00
7,25200,3,0.00
8,25400,3,0.00
9,25600,3,0.00
10,25700,3,0.00
11,25800,3,0.00
12,25900,3,0.00
13,26100,3,0.00
14,26100,3,0.00
15,26200,3,0.00
16,26300,3,0.00
17,26400,3,0.00
18,26500,3,0.00
19,26500,3,0.00
20,26400,3,0.00
21,26500,3,0.00
22,26500,3,0.00
23,26500,3,0.00
24,26600,3,0.00
25,26600,3,0.00
26,26700,3,0.00
27,26600,3,0.00
28,26600,3,0.00
29,26600,3,0.00
30,26600,3,0.00
31,26600,3,0.00
32,26500,3,0.00
33,26500,3,0.00
34,26400,3,0.00
35,26400,3,0.00
36,26400,3,0.00
37,26300,3,0.00
38,26100,3,0.00
39,26000,3,0.00
40,26100,3,0.00
41,26100,3,0.00
42,26400,3,0.00
43,26500,3,0.00
44,26700,3,0.00
45,26700,3,0.00
46,26900,3,0.00
47,26900,3,0.00
48,27000,3,0.00
49,27100,3,0.00
50,27200,3,0.00
51,27200,3,0.00
52,27200,3,0.00
53,27100,3,0.00
