plant_id,country_id,latitude,longitude
1,1,32.322,65.119
2,1,31.67,65.795
3,1,31.623,65.792
4,1,34.556,69.4787
5,1,34.641,69.717
6,1,34.4847,70.3633
7,1,34.5638,69.1134
8,1,35.9416,68.71
9,1,34.5865,69.7757
10,2,39.9116,20.1047
11,2,42.2514,20.0431
12,2,42.1033,19.8224
13,2,41.3428,19.8964
14,2,41.6796,19.8305
15,2,41.6796,19.8936
16,2,42.0137,19.6359
17,2,40.4874,19.434
18,3,27.908,-0.317
19,3,35.88,5.475
20,3,35.8665,6.0262
21,3,34.532,0.804
22,3,34.346,3.164
23,3,34.342,3.169
24,3,34.861,4.204
25,3,27.908,-0.317
26,3,36.8924,7.7634
27,3,26.9989,1.3351
28,3,36.5988,3.1375
29,3,31.285,8.565
30,3,36.5914,2.9223
31,3,36.596,2.878
32,3,35.5658,-0.9386
33,3,36.225,6.11
34,3,33.727,2.811
35,3,35.7666,7.3619
36,3,32.602,5.834
37,3,36.5767,2.0797
38,3,36.7489,3.0823
39,3,31.6703,6.0531
40,3,31.6703,6.0531
41,3,31.7877,6.0517
42,3,31.8065,5.9924
43,3,33.123,3.356
44,3,34.342,3.169
45,3,35.68,5.9861
46,3,36.4739,5.2719
47,3,27.183,2.504
48,3,36.8139,5.876
49,3,35.8064,-0.2476
50,3,36.885,8.0778
51,3,32.945,0.555
52,3,34.5056,6.9848
53,3,35.8,-0.1924
54,3,35.8,-0.1924
55,3,35.7071,4.4804
56,3,33.274,-0.372
57,3,35.919,7.87
58,3,35.68,5.9861
59,3,36.8509,3.6983
60,3,36.01,5.035
61,3,35.7095,-0.6319
62,3,26.768,0.137
63,3,35.7835,0.5407
64,3,36.1399,2.9296
65,3,36.8789,6.9366
66,3,32.9475,3.238
67,3,36.88,6.935
68,3,22.849,5.45
69,3,35.4608,-1.2295
70,3,35.3396,1.3562
71,3,33.1319,3.348
72,3,33.1377,3.3678
73,3,29.22,0.223
74,3,27.752,-8.154
75,3,34.692,-0.601
76,3,27.241,-0.174
77,4,-12.4706,13.7319
78,4,-12.4706,13.7319
79,4,-9.7523,14.4809
80,4,-9.7955,15.4672
81,4,-8.8383,13.2344
82,4,-12.76,15.75
83,4,-12.37,13.57
84,4,-8.8383,13.2344
85,4,-8.8383,13.2344
86,4,-5.55,12.2
87,4,-14.7333,15.0333
88,4,-15.1961,12.1522
89,4,-7.3,20.85
90,4,-15.3333,15
91,5,-77.847,166.6605
92,5,-77.8428,166.7271
93,6,-38.9368,-68.3556
94,6,-38.9368,-68.3556
95,6,-34.5792,-68.9892
96,6,-40.58,-70.7489
97,6,-34.8386,-58.4033
98,6,-38.9524,-68.0218
99,6,-39.2145,-70.9157
100,6,-33.0452,-69.0516
101,6,-39.1009,-68.5982
102,6,-33.967,-59.2059
103,6,-33.9674,-59.2045
104,6,-23.8219,-64.7847
105,6,-41.1167,-71.4167
