plant_id,name,gppd_idnr,capacity_mw,fuel_id,commissioning_year,wepp_id,,owner,source,geolocation_source,year_of_capacity_data
1,Kajaki Hydroelectric Power Plant Afghanistan,GEODB0040538,33,6,,1009793,,,GEODB,GEODB,2017
2,Kandahar DOG,WKS0070144,10,11,,,,,Wiki-Solar,Wiki-Solar,
3,Kandahar JOL,WKS0071196,10,11,,,,,Wiki-Solar,Wiki-Solar,
4,Mahipar Hydroelectric Power Plant Afghanistan,GEODB0040541,66,6,,1009795,,,GEODB,GEODB,2017
5,Naghlu Dam Hydroelectric Power Plant Afghanistan,GEODB0040534,100,6,,1009797,,,GEODB,GEODB,2017
6,Nangarhar (Darunta) Hydroelectric Power Plant Afghanistan,GEODB0040536,11.55,6,,1009787,,,GEODB,GEODB,2017
7,Northwest Kabul Power Plant Afghanistan,GEODB0040540,42,4,,,,,GEODB,GEODB,2017
8,Pul-e-Khumri Hydroelectric Power Plant Afghanistan,GEODB0040537,6,6,,,,,GEODB,GEODB,2017
9,Sarobi Dam Hydroelectric Power Plant Afghanistan,GEODB0040535,22,6,,1009799,,,GEODB,GEODB,2017
10,Bistrica 1,WRI1002169,27,6,1965,1021225,,,Energy Charter Secretariat,GEODB,
11,Fierza,WRI1002170,500,6,1978,1021231,,,Energy Charter Secretariat,GEODB,
12,Koman,WRI1002171,600,6,1985,1021233,,,Energy Charter Secretariat,GEODB,
13,Lanabregas,WRI1002172,5,6,1951,1021236,,,Energy Charter Secretariat,GEODB,
14,Shkopet,WRI1002173,24,6,1963,1021238,,,Energy Charter Secretariat,GEODB,
15,Ulez,WRI1002174,25,6,1958,1021241,,,Energy Charter Secretariat,GEODB,
16,Vau i Dijes,WRI1002175,250,6,1971,1021242,,,Energy Charter Secretariat,GEODB,
17,Vlora,WRI1002176,98,9,,1021244,,,Energy Charter Secretariat,GEODB,
18,Adrar,WKS0068905,20,11,,,,,Wiki-Solar,Wiki-Solar,
19,Ain Azel,WKS0065285,20,11,,,,,Wiki-Solar,Wiki-Solar,
20,Ain Djasser,WRI1023776,520,4,,1069670,,,Arab Union of Electricity,KTH,
21,Ain Sekhouna,WKS0068919,20,11,,,,,Wiki-Solar,Wiki-Solar,
22,Ain el Ibel I,WKS0068916,20,11,,,,,Wiki-Solar,Wiki-Solar,
23,Ain el Ibel II,WKS0073479,53,11,,,,,Wiki-Solar,Wiki-Solar,
24,Ain el Melh,WKS0068915,20,11,,,,,Wiki-Solar,Wiki-Solar,
25,Algerie Sud-Ouest,WKS0068912,43.5,11,,,,,Wiki-Solar,Wiki-Solar,
26,Annaba,WRI1023795,71,4,2010,1029479,,,Arab Union of Electricity,GEODB,
27,Aoulef,WKS0068908,5,11,,,,,Wiki-Solar,Wiki-Solar,
28,Arbaa,WRI1023777,560,4,2010,1069669,,Sonelgaz,Arab Union of Electricity,GEODB,
29,Bir Rebaa,WKS0072833,10,11,,,,,Wiki-Solar,Wiki-Solar,
30,Boufarik 1,WRI1023792,100,4,1980,1029484,,,Arab Union of Electricity,GEODB,
31,Boufarik 2,WRI1023793,450,4,2016,1029484,,,Arab Union of Electricity,KTH,
32,Boutelilis,WRI1023781,450,4,2016,1099563,,,Arab Union of Electricity,GEODB,
33,,WKS0065282,15,11,,,,,Wiki-Solar,Wiki-Solar,
34,El Kheneg,WKS0068917,60,11,,,,,Wiki-Solar,Wiki-Solar,
35,F'Krina,WRI1023785,292,4,,1057692,,,Arab Union of Electricity,GEODB,
36,HPC Ouargla,WKS0068918,30,11,,,,,Wiki-Solar,Wiki-Solar,
37,Hadjret Ennous,WRI1023768,1200,4,2009,1044377,,Sharikat Kahraba Hadjret En-Nouss,Arab Union of Electricity,GEODB,
38,Hamma 2,WRI1023783,418,4,,1029491,,,Arab Union of Electricity,GEODB,
39,Hassi Messaoud Mobile,WRI1023796,72,4,2013,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,KTH,
40,Hassi Messoud,WRI1023779,600,4,2015,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,KTH,
41,Hassi Messoud Nord 2,WRI1023790,200,4,1988,,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,GEODB,
42,Hassi Messoud Ouest,WRI1023799,492,4,,1047638,,Sonelgaz Production de l'Electricite,Arab Union of Electricity,KTH,
43,Hassi R'mel ISCC,WKS0071083,20,11,,,,,Wiki-Solar,Wiki-Solar,
44,Hauts Plateaux Centre,WKS0068911,106.6,11,,,,,Wiki-Solar,Wiki-Solar,
45,Hauts Plateaux Est,WKS0065280,73.8,11,,,,,Wiki-Solar,Wiki-Solar,
46,Ighil Emda,WRI1023798,24,6,1952,1029497,,SAFEAGE,Arab Union of Electricity,GEODB,
47,In Salah,WKS0068914,5,11,,,,,Wiki-Solar,Wiki-Solar,
48,Jijel,WRI1023775,588,4,,1029500,,,Arab Union of Electricity,GEODB,
49,Kahrama IPP,WRI1023784,345,4,,1051834,,,Arab Union of Electricity,GEODB,
50,Koudiet Eddraouch,WRI1023769,1200,4,2013,1046207,,Shariket Karhaba Koudiet Eddraouch SpA (SKD),Arab Union of Electricity,GEODB,
51,Labiodh Sidi Cheikh,WKS0068921,20,11,,,,,Wiki-Solar,Wiki-Solar,
52,Labreg,WRI1023815,396,4,2015,1099562,,,Arab Union of Electricity,KTH,
53,Marsat,WRI1023772,840,4,,1029503,,,Arab Union of Electricity,GEODB,
54,Marsat TG,WRI1023789,184,4,,,,,Arab Union of Electricity,GEODB,
55,Msila 1,WRI1023773,980,4,,1029501,,,Arab Union of Electricity,KTH,
56,,WKS0068920,19.9,11,,,,,Wiki-Solar,Wiki-Solar,
57,Oued El Kebrit,WKS0065281,15,11,,,,,Wiki-Solar,Wiki-Solar,
